"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
0	9.997500181200000e-01	-3.632896519016437e-05	1.304729488474032e+00	1.841226904644437e+02	2.464959050311771e+01	2.947366291816966e+05	1.126048551653280e+05	3.006539981526004e+02	4.568618011182731e-01	4.096018494636695e-01	
1	9.990000128750000e-01	-1.452537504052920e-04	1.289707935707186e+00	1.920861585166350e+02	2.735044494896147e+01	2.916288464939431e+05	1.108137612077774e+05	2.993178858359736e+02	3.843181026908456e-01	4.337584032262007e-01	
2	9.977599978450000e-01	-3.251111630156300e-04	1.280783411488419e+00	1.986909587280913e+02	2.857557696396106e+01	2.898665235850119e+05	1.096544197760696e+05	2.982502335954351e+02	3.373619311054956e-01	4.526982503764706e-01	
3	9.960200190539999e-01	-5.769983605901485e-04	1.273306808090911e+00	2.040140798060133e+02	2.937422856917526e+01	2.883968781976415e+05	1.086856400079676e+05	2.973510327761987e+02	2.981239743006526e-01	4.682729637714820e-01	
4	9.937800168990000e-01	-9.004365425509819e-04	1.267246909889943e+00	2.082211109782193e+02	3.005468780510215e+01	2.871915348443905e+05	1.078915007809350e+05	2.965898870521333e+02	2.659593877626966e-01	4.808549489957287e-01	
5	9.910500049590000e-01	-1.293363843462116e-03	1.262261386454758e+00	2.118890963966942e+02	3.051447477488471e+01	2.861986077643915e+05	1.072181701500323e+05	2.959030484091108e+02	2.386878456840481e-01	4.918052608107575e-01	
6	9.878399968150000e-01	-1.753609743384430e-03	1.257783180802529e+00	2.149864365934353e+02	3.085934925470769e+01	2.852905890756230e+05	1.066155044906470e+05	2.952874086280329e+02	2.142784082769748e-01	5.012594814710042e-01	
7	9.841300249100000e-01	-2.283176811071472e-03	1.253818232236234e+00	2.177352032887337e+02	3.112282110144101e+01	2.844772689368784e+05	1.060741193672269e+05	2.947170079345883e+02	1.923509828837297e-01	5.097233835816795e-01	
8	9.799500107769999e-01	-2.876826092032643e-03	1.250258136072791e+00	2.201780382754895e+02	3.132212918523389e+01	2.837322336258496e+05	1.055810162325842e+05	2.941822692811619e+02	1.723790964607216e-01	5.173302036718003e-01	
9	9.752799868580000e-01	-3.536324145770189e-03	1.247037192796492e+00	2.223804765203678e+02	3.146033917491165e+01	2.830473965947894e+05	1.051289305986866e+05	2.936791980028921e+02	1.540685194244975e-01	5.242456969301252e-01	
10	9.701499938960000e-01	-4.256268552403566e-03	1.244108397866828e+00	2.243719456157588e+02	3.154843810442825e+01	2.824136585802215e+05	1.047124729347565e+05	2.932044381942121e+02	1.372009625592784e-01	5.305513803125250e-01	
11	9.645400047300000e-01	-5.038225493362627e-03	1.241434985236602e+00	2.261874402171954e+02	3.159019548706731e+01	2.818249482059054e+05	1.043270102693731e+05	2.927541949842166e+02	1.215887791588908e-01	5.363385140343636e-01	
12	9.584699869160000e-01	-5.878077433056352e-03	1.238979529887068e+00	2.278524590134270e+02	3.159064414404972e+01	2.812761240220651e+05	1.039687892182424e+05	2.923271823372522e+02	1.070799479532296e-01	5.416773065086176e-01	
13	9.519400000570000e-01	-6.774428848839826e-03	1.236715346773513e+00	2.293882447977719e+02	3.155320603677122e+01	2.807630864374631e+05	1.036347556644619e+05	2.919214603996317e+02	9.355076971668766e-02	5.466254067677914e-01	
14	9.449599981310000e-01	-7.724467125531491e-03	1.234613511345412e+00	2.308166398164519e+02	3.148261931724524e+01	2.802817527472558e+05	1.033216946768043e+05	2.915350936815342e+02	8.087103184906697e-02	5.512448214018897e-01	
15	9.375399947170000e-01	-8.725349486403867e-03	1.232653048755937e+00	2.321551858456644e+02	3.138197921588718e+01	2.798295427815567e+05	1.030273067980731e+05	2.911667898488828e+02	6.894760069385383e-02	5.555841294196466e-01	
16	9.296900033950000e-01	-9.774221272349531e-03	1.230811149863223e+00	2.334203071024262e+02	3.125463994785552e+01	2.794034024212576e+05	1.027491104226375e+05	2.908151276867179e+02	5.767996513619816e-02	5.596913274808388e-01	
17	9.214000105860000e-01	-1.087086069705918e-02	1.229070916297538e+00	2.346267081986299e+02	3.110414027755565e+01	2.790012543767975e+05	1.024851351758955e+05	2.904786928344998e+02	4.698832017183015e-02	5.636086040731805e-01	
18	9.126999974250000e-01	-1.200973104171110e-02	1.227424214334803e+00	2.357865903551679e+02	3.093170139739715e+01	2.786226907337608e+05	1.022343181549252e+05	2.901565397537854e+02	3.682961562535114e-02	5.673676925483102e-01	
19	9.035800099370001e-01	-1.319055953446835e-02	1.225865541212142e+00	2.369079323824504e+02	3.074072273752055e+01	2.782689757756235e+05	1.019965592809048e+05	2.898498164336082e+02	2.719979805901437e-02	5.709881700696773e-01	
20	8.940600156780000e-01	-1.440916392228702e-02	1.224378706022479e+00	2.379926465679861e+02	3.053063895781508e+01	2.779371719922866e+05	1.017704877091975e+05	2.895585766722122e+02	1.804334490265732e-02	5.744803339369499e-01	
21	8.841500282290000e-01	-1.566269158090452e-02	1.222989531829959e+00	2.390634746585723e+02	3.030288258729875e+01	2.776340817104643e+05	1.015572947192908e+05	2.892802134340352e+02	9.408505897457396e-03	5.778877702701636e-01	
22	8.738499879840000e-01	-1.694956337677533e-02	1.221678654586452e+00	2.401083672647313e+02	3.006314298890256e+01	2.773567813637178e+05	1.013565876873544e+05	2.890182988229883e+02	1.279378815276444e-03	5.811878605792301e-01	
23	8.631799817090000e-01	-1.826569132102762e-02	1.220448988012653e+00	2.411372188167778e+02	2.980573651845117e+01	2.771064724714177e+05	1.011681919743617e+05	2.887717483438915e+02	-6.351109652819983e-03	5.844009899715779e-01	
24	8.521599769590000e-01	-1.960709133914372e-02	1.219324463666987e+00	2.421667072991340e+02	2.953520411156567e+01	2.768905059720541e+05	1.009939046281378e+05	2.885401287618523e+02	-1.341017466215782e-02	5.875562193759193e-01	
25	8.407700061800000e-01	-2.097463226217677e-02	1.218262708355582e+00	2.431745937834868e+02	2.925421429961910e+01	2.766984323322322e+05	1.008309729606034e+05	2.883256984606495e+02	-2.000930683167146e-02	5.906182255805370e-01	
26	8.290500044819999e-01	-2.236196298315981e-02	1.217306343261996e+00	2.441971540353035e+02	2.895738516340590e+01	2.765428324817681e+05	1.006819543042596e+05	2.881257658590851e+02	-2.604492792251039e-02	5.936534651515609e-01	
27	8.170099854470000e-01	-2.376642068849115e-02	1.216400305304946e+00	2.451967897780809e+02	2.865206320351727e+01	2.764095041863442e+05	1.005436781711953e+05	2.879443715067770e+02	-3.164545047155986e-02	5.965957251158250e-01	
28	8.046399950980000e-01	-2.518763605296113e-02	1.215569874655072e+00	2.462166094866831e+02	2.833073867278099e+01	2.763068304454392e+05	1.004163202274364e+05	2.877760978324021e+02	-3.680375957390097e-02	5.995388511829970e-01	
29	7.919700145720000e-01	-2.662062628442961e-02	1.214799435577344e+00	2.472097952612924e+02	2.798762001327792e+01	2.762315126100702e+05	1.003022826032342e+05	2.876315888718271e+02	-4.142256306247920e-02	6.023647359147588e-01	
30	7.790099978450000e-01	-2.806276676215449e-02	1.214337371242045e+00	2.481649585211269e+02	2.755932575182143e+01	2.762369130035616e+05	1.002265539859665e+05	2.875237892037100e+02	-4.448975780691788e-02	6.048908035422260e-01	
31	7.657799720760000e-01	-2.951033727360171e-02	1.214227114986927e+00	2.491127167811463e+02	2.708888903593431e+01	2.763274388543397e+05	1.001884370172258e+05	2.874405398628824e+02	-4.603358853317849e-02	6.071916033542321e-01	
32	7.522799968720000e-01	-3.096181144522562e-02	1.213665641168279e+00	2.499813167802200e+02	2.677086344220772e+01	2.762519204980175e+05	1.000848289611528e+05	2.872761285170632e+02	-5.022996893116263e-02	6.096577199518237e-01	
33	7.385200262070000e-01	-3.241453277608040e-02	1.212884969085605e+00	2.507209401938805e+02	2.637621254793469e+01	2.761298294440595e+05	9.997168079586865e+04	2.871360522756074e+02	-5.481274715191948e-02	6.118829179016247e-01	
34	7.245299816130000e-01	-3.386376679305321e-02	1.212063001088469e+00	2.514499289425667e+02	2.595004651214046e+01	2.760073049374807e+05	9.985883777774844e+04	2.870064507947492e+02	-5.938316616407915e-02	6.140901952561141e-01	
35	7.103199958800001e-01	-3.530689307158652e-02	1.211173059068063e+00	2.521922307505280e+02	2.549952063067830e+01	2.758770376975819e+05	9.974107664037227e+04	2.868786279824587e+02	-6.415278106913469e-02	6.163626264393425e-01	
36	6.958900094030001e-01	-3.674225211597043e-02	1.210240876563387e+00	2.529537449436801e+02	2.503616599207165e+01	2.757448748748265e+05	9.962033891565632e+04	2.867520575606612e+02	-6.904295506234354e-02	6.187055688078599e-01	
37	6.812700033190000e-01	-3.816515293304169e-02	1.209223825830271e+00	2.537155817513931e+02	2.455347792116797e+01	2.756006821969887e+05	9.949379760870051e+04	2.866286891669935e+02	-7.416818837113594e-02	6.210920956127710e-01	
38	6.664699912070000e-01	-3.957289370556494e-02	1.208163008045887e+00	2.544920085548979e+02	2.405212201530179e+01	2.754546830900884e+05	9.936467612660963e+04	2.865080523653417e+02	-7.939792510148204e-02	6.235371669030754e-01	
39	6.514999866490000e-01	-4.096270419333766e-02	1.207018300615316e+00	2.552676749106060e+02	2.352753410755518e+01	2.752956148280093e+05	9.922940842444035e+04	2.863893690698132e+02	-8.487659882028510e-02	6.260248050796124e-01	
40	6.363800168040000e-01	-4.233084266562091e-02	1.205839058758147e+00	2.560636565866517e+02	2.298091545271431e+01	2.751368432404545e+05	9.909196109159570e+04	2.862723621847255e+02	-9.044355292757950e-02	6.285821539671828e-01	
41	6.211299896240000e-01	-4.367359094194759e-02	1.204567519418819e+00	2.568483968836492e+02	2.240771846545181e+01	2.749614875226325e+05	9.894773675795227e+04	2.861574531378872e+02	-9.628499218966827e-02	6.311619136427593e-01	
42	6.057599782940000e-01	-4.498807223669178e-02	1.203270749302889e+00	2.576618029595784e+02	2.180637253698348e+01	2.747882124779288e+05	9.880139019628176e+04	2.860421550049689e+02	-1.022123868921968e-01	6.338297172368603e-01	
43	5.902799963950000e-01	-4.627132533375768e-02	1.201867233566635e+00	2.584533051049416e+02	2.117617550110977e+01	2.745931934044298e+05	9.864693296258854e+04	2.859284942725900e+02	-1.084682837052813e-01	6.365036774353243e-01	
44	5.747100114820000e-01	-4.751950934859488e-02	1.200448952034681e+00	2.592812210107658e+02	2.051025227432415e+01	2.744018615625958e+05	9.849039082906352e+04	2.858120331234426e+02	-1.148086240753398e-01	6.392825186214928e-01	
45	5.590599775310000e-01	-4.872955796694115e-02	1.198911804849048e+00	2.600746384332057e+02	1.981271565102951e+01	2.741837823274528e+05	9.832466125023601e+04	2.856969261231117e+02	-1.215210785148651e-01	6.420453648721872e-01	
46	5.433599948880000e-01	-4.989683951066199e-02	1.197370285644535e+00	2.609098717801291e+02	1.907072468497856e+01	2.739705805793363e+05	9.815690567338513e+04	2.855766719231055e+02	-1.283155908436497e-01	6.449244923334628e-01	
47	5.276100039480000e-01	-5.101897737545535e-02	1.195698628918713e+00	2.616986683619763e+02	1.829427122935827e+01	2.737258642643461e+05	9.797893777772553e+04	2.854574230261648e+02	-1.355237271326862e-01	6.477670351956444e-01	
48	5.118399858470000e-01	-5.209138375948307e-02	1.194020192182535e+00	2.625342721009367e+02	1.746470259432659e+01	2.734845987424835e+05	9.779784466917833e+04	2.853303424911422e+02	-1.428584422091074e-01	6.507442644464996e-01	
49	4.960500001910000e-01	-5.311153541819326e-02	1.192190534270454e+00	2.633181049645269e+02	1.659777065929109e+01	2.732058393743581e+05	9.760435167053455e+04	2.852028473554382e+02	-1.506953832485540e-01	6.536877301243051e-01	
50	4.802699983120000e-01	-5.407492053959814e-02	1.190327021175935e+00	2.641541071801985e+02	1.566987091192984e+01	2.729239943790881e+05	9.740427008136389e+04	2.850637861629496e+02	-1.587991783646552e-01	6.568012939663662e-01	
51	4.645099937920000e-01	-5.497835513414191e-02	1.188308289278056e+00	2.649390656773130e+02	1.470304413470852e+01	2.726023826150162e+05	9.719068007154613e+04	2.849219051907558e+02	-1.674500976500516e-01	6.598919813735247e-01	
52	4.487800002100000e-01	-5.581859897363720e-02	1.186216827251694e+00	2.657600899480621e+02	1.366712303719523e+01	2.722637183139182e+05	9.696581254867419e+04	2.847638827491176e+02	-1.765577838753198e-01	6.631441036102756e-01	
53	4.331099987030000e-01	-5.659141825851464e-02	1.183995333791295e+00	2.665496651166452e+02	1.258515018049198e+01	2.718913393909215e+05	9.672826031530794e+04	2.845992370084474e+02	-1.861792319883212e-01	6.664168634142551e-01	
54	4.174999892710000e-01	-5.729416860686566e-02	1.181672404086507e+00	2.673384146753120e+02	1.143246277393724e+01	2.714914902918735e+05	9.647808866602536e+04	2.844211859041084e+02	-1.963117973984947e-01	6.697785052497904e-01	
55	4.019699990750000e-01	-5.792324246601335e-02	1.179261518629309e+00	2.681140182935557e+02	1.021845500049957e+01	2.710659905321724e+05	9.621713770814137e+04	2.842317909551221e+02	-2.068809512462209e-01	6.731927222219664e-01	
56	3.865399956700000e-01	-5.847520956655861e-02	1.176751227864546e+00	2.688590920851823e+02	8.935288975770128e+00	2.706110912830752e+05	9.594531175815839e+04	2.840334202774159e+02	-2.178905689478410e-01	6.766221464437011e-01	
57	3.712300062180000e-01	-5.894684318665333e-02	1.174185973473077e+00	2.695967667235022e+02	7.576692455127249e+00	2.701370819258574e+05	9.566500278775988e+04	2.838223199954472e+02	-2.292437697832129e-01	6.801067943467861e-01	
58	3.560400009160000e-01	-5.933561549045978e-02	1.171558756201925e+00	2.702948757900065e+02	6.149002687873477e+00	2.696403657091206e+05	9.537753524934313e+04	2.836040093282077e+02	-2.408869101816645e-01	6.835669561064129e-01	
59	3.409900069240000e-01	-5.963847719943702e-02	1.168888001002094e+00	2.709635936926037e+02	4.637826778014908e+00	2.691245709208177e+05	9.508356393904547e+04	2.833758895773482e+02	-2.527934692935677e-01	6.870231251368420e-01	
60	3.261100053790000e-01	-5.985254444802346e-02	1.166205638209701e+00	2.715955022331151e+02	3.047643467210633e+00	2.685960263505733e+05	9.478654151356015e+04	2.831404291353087e+02	-2.648236060542641e-01	6.904384824551265e-01	
61	3.113999962810000e-01	-5.997565198183213e-02	1.163502236666872e+00	2.721723563336164e+02	1.372402355796770e+00	2.680515686753885e+05	9.448671554358478e+04	2.829006045524431e+02	-2.769672932432652e-01	6.937716177490965e-01	
62	2.968699932100000e-01	-6.000550062925582e-02	1.160834238263278e+00	2.727143862997909e+02	-3.935794937698665e-01	2.675041427768100e+05	9.418789112274637e+04	2.826540479575158e+02	-2.890704152356470e-01	6.970466462352293e-01	
63	2.825500071050000e-01	-5.994005483718394e-02	1.158175752597822e+00	2.731818975155862e+02	-2.247520217494775e+00	2.669461387838705e+05	9.389035967663580e+04	2.824079249189328e+02	-3.011211685801780e-01	7.001721968791961e-01	
64	2.684499919410000e-01	-5.977765596976551e-02	1.155613622719450e+00	2.736075781748447e+02	-4.202039834842971e+00	2.663979888665646e+05	9.360006067639666e+04	2.821589449708814e+02	-3.128789901273686e-01	7.031871470825150e-01	
65	2.545700073240000e-01	-5.951657836311273e-02	1.153116139486747e+00	2.739427423739181e+02	-6.250171835186327e+00	2.658505557395046e+05	9.331747668047601e+04	2.819163613821711e+02	-3.243243350765078e-01	7.059773528484559e-01	
66	2.409400045870000e-01	-5.915585896897953e-02	1.150783368880992e+00	2.742241691300329e+02	-8.408695725964369e+00	2.653279374265962e+05	9.304972052242899e+04	2.816772950294355e+02	-3.351691162224467e-01	7.085842003605729e-01	
67	2.275699973110000e-01	-5.869456802648413e-02	1.148591098910007e+00	2.744002354023825e+02	-1.066831149318459e+01	2.648224966654095e+05	9.279825054691391e+04	2.814522259916221e+02	-3.453542670295358e-01	7.108792294776686e-01	
68	2.144699990750000e-01	-5.813197420944613e-02	1.146641238176950e+00	2.745070149757816e+02	-1.304746861203692e+01	2.643589287324498e+05	9.257042976502798e+04	2.812386913700886e+02	-3.545815674885445e-01	7.129014967456059e-01	
69	2.016600072380000e-01	-5.746811193675738e-02	1.144922569290980e+00	2.744930344601296e+02	-1.553951650304670e+01	2.639326367596700e+05	9.236903469977497e+04	2.810480872190814e+02	-3.627385616076391e-01	7.145142072038059e-01	
70	1.891400069000000e-01	-5.670228146432130e-02	1.143534911499505e+00	2.743916779601208e+02	-1.816332713915120e+01	2.635681492770619e+05	9.220148083410045e+04	2.808787046757491e+02	-3.695249041390296e-01	7.157521560427260e-01	
71	1.769299954180000e-01	-5.583513598033686e-02	1.142472079564866e+00	2.741522885519959e+02	-2.091277560666453e+01	2.632619305169802e+05	9.207086954010034e+04	2.807417448223900e+02	-3.748149819058701e-01	7.164796009694027e-01	
72	1.650400012730000e-01	-5.486709202536137e-02	1.141830026037668e+00	2.738043638380171e+02	-2.380941268119229e+01	2.630376888010147e+05	9.198443416985641e+04	2.806359002954871e+02	-3.783158264070784e-01	7.167278202498493e-01	
73	1.534900069240000e-01	-5.379977779145956e-02	1.141589768281320e+00	2.732918069961657e+02	-2.684530440987444e+01	2.628889340634024e+05	9.194433360984855e+04	2.805725938216430e+02	-3.799399974449618e-01	7.163582897291755e-01	
