"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
199, 1.000000000000000e+00, 0.000000000000000e+00, 1.113602205176464e+05, 4.064510450811012e-01, 3.570552818253617e-01
0, 9.997500181200000e-01, -3.632896519016437e-05, 1.126048551653280e+05, 4.568618011182731e-01, 4.096018494636695e-01
1, 9.990000128750000e-01, -1.452537504052920e-04, 1.108137612077774e+05, 3.843181026908456e-01, 4.337584032262007e-01
2, 9.977599978450000e-01, -3.251111630156300e-04, 1.096544197760696e+05, 3.373619311054956e-01, 4.526982503764706e-01
3, 9.960200190539999e-01, -5.769983605901485e-04, 1.086856400079676e+05, 2.981239743006526e-01, 4.682729637714820e-01
4, 9.937800168990000e-01, -9.004365425509819e-04, 1.078915007809350e+05, 2.659593877626966e-01, 4.808549489957287e-01
5, 9.910500049590000e-01, -1.293363843462116e-03, 1.072181701500323e+05, 2.386878456840481e-01, 4.918052608107575e-01
6, 9.878399968150000e-01, -1.753609743384430e-03, 1.066155044906470e+05, 2.142784082769748e-01, 5.012594814710042e-01
7, 9.841300249100000e-01, -2.283176811071472e-03, 1.060741193672269e+05, 1.923509828837297e-01, 5.097233835816795e-01
8, 9.799500107769999e-01, -2.876826092032643e-03, 1.055810162325842e+05, 1.723790964607216e-01, 5.173302036718003e-01
9, 9.752799868580000e-01, -3.536324145770189e-03, 1.051289305986866e+05, 1.540685194244975e-01, 5.242456969301252e-01
10, 9.701499938960000e-01, -4.256268552403566e-03, 1.047124729347565e+05, 1.372009625592784e-01, 5.305513803125250e-01
11, 9.645400047300000e-01, -5.038225493362627e-03, 1.043270102693731e+05, 1.215887791588908e-01, 5.363385140343636e-01
12, 9.584699869160000e-01, -5.878077433056352e-03, 1.039687892182424e+05, 1.070799479532296e-01, 5.416773065086176e-01
13, 9.519400000570000e-01, -6.774428848839826e-03, 1.036347556644619e+05, 9.355076971668766e-02, 5.466254067677914e-01
14, 9.449599981310000e-01, -7.724467125531491e-03, 1.033216946768043e+05, 8.087103184906697e-02, 5.512448214018897e-01
15, 9.375399947170000e-01, -8.725349486403867e-03, 1.030273067980731e+05, 6.894760069385383e-02, 5.555841294196466e-01
16, 9.296900033950000e-01, -9.774221272349531e-03, 1.027491104226375e+05, 5.767996513619816e-02, 5.596913274808388e-01
17, 9.214000105860000e-01, -1.087086069705918e-02, 1.024851351758955e+05, 4.698832017183015e-02, 5.636086040731805e-01
18, 9.126999974250000e-01, -1.200973104171110e-02, 1.022343181549252e+05, 3.682961562535114e-02, 5.673676925483102e-01
19, 9.035800099370001e-01, -1.319055953446835e-02, 1.019965592809048e+05, 2.719979805901437e-02, 5.709881700696773e-01
20, 8.940600156780000e-01, -1.440916392228702e-02, 1.017704877091975e+05, 1.804334490265732e-02, 5.744803339369499e-01
21, 8.841500282290000e-01, -1.566269158090452e-02, 1.015572947192908e+05, 9.408505897457396e-03, 5.778877702701636e-01
22, 8.738499879840000e-01, -1.694956337677533e-02, 1.013565876873544e+05, 1.279378815276444e-03, 5.811878605792301e-01
23, 8.631799817090000e-01, -1.826569132102762e-02, 1.011681919743617e+05, -6.351109652819983e-03, 5.844009899715779e-01
24, 8.521599769590000e-01, -1.960709133914372e-02, 1.009939046281378e+05, -1.341017466215782e-02, 5.875562193759193e-01
25, 8.407700061800000e-01, -2.097463226217677e-02, 1.008309729606034e+05, -2.000930683167146e-02, 5.906182255805370e-01
26, 8.290500044819999e-01, -2.236196298315981e-02, 1.006819543042596e+05, -2.604492792251039e-02, 5.936534651515609e-01
27, 8.170099854470000e-01, -2.376642068849115e-02, 1.005436781711953e+05, -3.164545047155986e-02, 5.965957251158250e-01
28, 8.046399950980000e-01, -2.518763605296113e-02, 1.004163202274364e+05, -3.680375957390097e-02, 5.995388511829970e-01
29, 7.919700145720000e-01, -2.662062628442961e-02, 1.003022826032342e+05, -4.142256306247920e-02, 6.023647359147588e-01
30, 7.790099978450000e-01, -2.806276676215449e-02, 1.002265539859665e+05, -4.448975780691788e-02, 6.048908035422260e-01
31, 7.657799720760000e-01, -2.951033727360171e-02, 1.001884370172258e+05, -4.603358853317849e-02, 6.071916033542321e-01
32, 7.522799968720000e-01, -3.096181144522562e-02, 1.000848289611528e+05, -5.022996893116263e-02, 6.096577199518237e-01
33, 7.385200262070000e-01, -3.241453277608040e-02, 9.997168079586865e+04, -5.481274715191948e-02, 6.118829179016247e-01
34, 7.245299816130000e-01, -3.386376679305321e-02, 9.985883777774844e+04, -5.938316616407915e-02, 6.140901952561141e-01
35, 7.103199958800001e-01, -3.530689307158652e-02, 9.974107664037227e+04, -6.415278106913469e-02, 6.163626264393425e-01
36, 6.958900094030001e-01, -3.674225211597043e-02, 9.962033891565632e+04, -6.904295506234354e-02, 6.187055688078599e-01
37, 6.812700033190000e-01, -3.816515293304169e-02, 9.949379760870051e+04, -7.416818837113594e-02, 6.210920956127710e-01
38, 6.664699912070000e-01, -3.957289370556494e-02, 9.936467612660963e+04, -7.939792510148204e-02, 6.235371669030754e-01
39, 6.514999866490000e-01, -4.096270419333766e-02, 9.922940842444035e+04, -8.487659882028510e-02, 6.260248050796124e-01
40, 6.363800168040000e-01, -4.233084266562091e-02, 9.909196109159570e+04, -9.044355292757950e-02, 6.285821539671828e-01
41, 6.211299896240000e-01, -4.367359094194759e-02, 9.894773675795227e+04, -9.628499218966827e-02, 6.311619136427593e-01
42, 6.057599782940000e-01, -4.498807223669178e-02, 9.880139019628176e+04, -1.022123868921968e-01, 6.338297172368603e-01
43, 5.902799963950000e-01, -4.627132533375768e-02, 9.864693296258854e+04, -1.084682837052813e-01, 6.365036774353243e-01
44, 5.747100114820000e-01, -4.751950934859488e-02, 9.849039082906352e+04, -1.148086240753398e-01, 6.392825186214928e-01
45, 5.590599775310000e-01, -4.872955796694115e-02, 9.832466125023601e+04, -1.215210785148651e-01, 6.420453648721872e-01
46, 5.433599948880000e-01, -4.989683951066199e-02, 9.815690567338513e+04, -1.283155908436497e-01, 6.449244923334628e-01
47, 5.276100039480000e-01, -5.101897737545535e-02, 9.797893777772553e+04, -1.355237271326862e-01, 6.477670351956444e-01
48, 5.118399858470000e-01, -5.209138375948307e-02, 9.779784466917833e+04, -1.428584422091074e-01, 6.507442644464996e-01
49, 4.960500001910000e-01, -5.311153541819326e-02, 9.760435167053455e+04, -1.506953832485540e-01, 6.536877301243051e-01
50, 4.802699983120000e-01, -5.407492053959814e-02, 9.740427008136389e+04, -1.587991783646552e-01, 6.568012939663662e-01
51, 4.645099937920000e-01, -5.497835513414191e-02, 9.719068007154613e+04, -1.674500976500516e-01, 6.598919813735247e-01
52, 4.487800002100000e-01, -5.581859897363720e-02, 9.696581254867419e+04, -1.765577838753198e-01, 6.631441036102756e-01
53, 4.331099987030000e-01, -5.659141825851464e-02, 9.672826031530794e+04, -1.861792319883212e-01, 6.664168634142551e-01
54, 4.174999892710000e-01, -5.729416860686566e-02, 9.647808866602536e+04, -1.963117973984947e-01, 6.697785052497904e-01
55, 4.019699990750000e-01, -5.792324246601335e-02, 9.621713770814137e+04, -2.068809512462209e-01, 6.731927222219664e-01
56, 3.865399956700000e-01, -5.847520956655861e-02, 9.594531175815839e+04, -2.178905689478410e-01, 6.766221464437011e-01
